stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1318,,"AVENIDA E CJ CEARA, 167",,-3.759524,-38.605414,,,0,,,
1319,,"AVENIDA E/CJ CEARÁ, 172",,-3.759556,-38.605331,,,0,,,
132,,"AVENIDA AMBIENTALISTAARY THIERS, 131",,-3.716445,-38.596358,,,0,,,
1320,,"RUA 30 DE MAIO    (D73), 552",,-3.763013,-38.600652,,,0,,,
1322,,"AVENIDA D CJ CEARA, 958",,-3.760386,-38.603574,,,0,,,
1323,,"AVENIDA D CJ CEARA, 965",,-3.760296,-38.603607,,,0,,,
1324,,"RUA JOSE MENDONCA, 188",,-3.760879,-38.60289,,,0,,,
1326,,"AVENIDA J CJ CEARA, 917",,-3.766081,-38.615486,,,0,,,
1328,,"AVENIDA J CJ CEARA, 1035",,-3.767204,-38.61599,,,0,,,
1329,,"AVENIDA MIN ALBUQUERQUE LIMA, 180",,-3.764951,-38.612935,,,0,,,
133,,"AVENIDA MOZART P.LUCENA, 1357",,-3.714771,-38.594688,,,0,,,
1330,,"AVENIDA MIN ALBUQUERQUE LIMA, 184",,-3.764364,-38.613567,,,0,,,
1332,,"AVENIDA J CJ CEARA, 653",,-3.764256,-38.614741,,,0,,,
1333,,"AVENIDA J CJ CEARA, 2892",,-3.772361,-38.619003,,,0,,,
1334,,"AVENIDA J CJ CEARA, 2892",,-3.772026,-38.618829,,,0,,,
1335,,"AVENIDA J CJ CEARA, 2250",,-3.769359,-38.617182,,,0,,,
1336,,"AVENIDA J CJ CEARA, 2240",,-3.769481,-38.61727,,,0,,,
1337,,"AVENIDA C CJ CEARA, 1625",,-3.77225,-38.615105,,,0,,,
1339,,"AVENIDA J CJ CEARA, 2052",,-3.770863,-38.618228,,,0,,,
134,,"RUA RAIMUNDO GOMES, 198",,-3.714283,-38.5903,,,0,,,
1340,,"AVENIDA J CJ CEARA, 2580",,-3.770835,-38.618212,,,0,,,
1341,,"AVENIDA C CJ CEARA, 816",,-3.77156,-38.614471,,,0,,,
1344,,"AVENIDA C CJ CEARA, 1235",,-3.769231,-38.613511,,,0,,,
1345,,"AVENIDA C CJ CEARA, 1215",,-3.769214,-38.613496,,,0,,,
1348,,"AVENIDA C CJ CEARA, 635",,-3.764566,-38.6103,,,0,,,
1349,,"AVENIDA C CJ CEARA, 478",,-3.764416,-38.610239,,,0,,,
135,,"RUA DOR AMADEU SA, 353",,-3.718174,-38.592456,,,0,,,
1350,,"AVENIDA C CJ CEARA, SN",,-3.765928,-38.610844,,,0,,,
1351,,"AVENIDA C CJ CEARA, 805",,-3.7661,-38.610912,,,0,,,
1352,,"AVENIDA MIN ALBUQUERQUE LIMA, 178",,-3.767274,-38.609766,,,0,,,
1353,,"AVENIDA MIN ALBUQUERQUE LIMA, 170",,-3.767753,-38.608945,,,0,,,
1354,,"AVENIDA MIN ALBUQUERQUE LIMA, 285",,-3.767976,-38.608579,,,0,,,
1355,,"AVENIDA ALANIS MARIA LAURINDO OLIVEIRA, 760",,-3.768334,-38.607247,,,0,,,
1356,,"AVENIDA B CJ CEARA, 550",,-3.766652,-38.606178,,,0,,,
1357,,"AVENIDA ALANIS MARIA LAURINDO DE OLIVEIRA, 510",,-3.766256,-38.605929,,,0,,,
1358,,"AVENIDA B CJ CEARA, 370",,-3.764878,-38.605055,,,0,,,
136,,"RUA DOR AMADEU SA, 349",,-3.718418,-38.591646,,,0,,,
1360,,"AVENIDA A CJ CEARA, 613",,-3.767085,-38.601514,,,0,,,
1361,,"AVENIDA A CJ CEARA, 668",,-3.767474,-38.602354,,,0,,,
1362,,"AVENIDA D CJ CEARA, 1429",,-3.76446,-38.602018,,,0,,,
1363,,"AVENIDA L CJ CEARA, SN",,-3.770619,-38.606688,,,0,,,
1364,,"AVENIDA MIN ALBUQUERQUE LIMA, 788",,-3.770136,-38.605991,,,0,,,
1365,,"AVENIDA 151 CJ CEARA, 151",,-3.769659,-38.606579,,,0,,,
1366,,"AVENIDA MIN ALBUQUERQUE LIMA, 804",,-3.770196,-38.605887,,,0,,,
1367,,"AVENIDA A CJ CEARA, 1214",,-3.771963,-38.60505,,,0,,,
1368,,"AVENIDA 727 CJ CEARA, 1211",,-3.771565,-38.604942,,,0,,,
1369,,"AVENIDA A CJ CEARA, 1028",,-3.770201,-38.604566,,,0,,,
1370,,"AVENIDA A CJ CEARA, 1039",,-3.769309,-38.604314,,,0,,,
1371,,"AVENIDA A CJ CEARA, 884",,-3.768121,-38.603587,,,0,,,
1372,,"AVENIDA ALANIS MARIA LAURINDO OLIVEIRA, 760",,-3.768512,-38.607359,,,0,,,
1373,,"AVENIDA MIN ALBUQUERQUE LIMA, 1058",,-3.770887,-38.603607,,,0,,,
1374,,"AVENIDA MIN ALBUQUERQUE LIMA, 1113",,-3.770992,-38.60272,,,0,,,
1375,,"AVENIDA MIN ALBUQUERQUE LIMA, 1412",,-3.770979,-38.602349,,,0,,,
1376,,"AVENIDA MIN ALBUQUERQUE LIMA, 1225",,-3.770867,-38.601647,,,0,,,
1379,,"AVENIDA I CJ CEARA, 335",,-3.766568,-38.596999,,,0,,,
138,,"AVENIDA CEL CARVALHO, 1038",,-3.711183,-38.589574,,,0,,,
1380,,"AVENIDA I CJ CEARA, 337",,-3.7665,-38.597036,,,0,,,
1381,,"AVENIDA I CJ CEARA, 211",,-3.765902,-38.59865,,,0,,,
1382,,"AVENIDA I CJ CEARA, 237",,-3.76588,-38.59856,,,0,,,
1383,,"AVENIDA I CJ CEARA, 220",,-3.766667,-38.600587,,,0,,,
1384,,"AVENIDA AUDISIO PINHEIRO, 1883",,-3.766873,-38.593116,,,0,,,
1385,,"AVENIDA I CJ CEARA, 1126",,-3.772362,-38.597947,,,0,,,
1386,,"AVENIDA I CJ CEARA, 915",,-3.77244,-38.597962,,,0,,,
